No.,book_name,author,publishing-house,date,price,score,url,comment
25,沉默的大多数:王小波杂文随笔全编,王小波,中国青年出版社,1997,27.0,9.1,https://book.douban.com/subject/1054685/,十年，是一个小小的轮回，足够我们忘记许多人或者事，真挚的爱情都难以保持如此之恒久，但王小波凭着四卷文集，战败了时间。1997——2007，在王小波离去的十年间，生活有何改变？无非是天增岁月人增寿，大家都老了十年。比较明显的变化是，上网费从一小时8元，降到了一个月80...
26,中国历代政治得失,钱穆,生活·读书·新知三联书店,2001,12.0,9.2,https://book.douban.com/subject/1003479/,钱穆在《中国历代政治得失》里说“我将纯从历史事实上，来比较它的好坏；根据当时人的意见，来说明它的得失。”（p5；p175）这是一种历史研究或者说历史分析的方法，不带个人情感以及私人意见。个人认为，即使去掉历史二字，这也不失为一种好的研究方法（取向）。不带时代以及...
27,局外人,[法] 阿尔贝·加缪,上海译文出版社,2010,22.0,9.1,https://book.douban.com/subject/4908885/,在书店工作期间，最快乐的时候，便是与对胃口的人聊起彼此都喜欢的书的时候。比如某天看到有姑娘在向她的朋友推荐加缪的《局外人》，边上的我憋不住接了一句：“这本书我也很喜欢。我曾经在三个月里连看了三遍，包括两个译本，仍意犹未尽，想再去看郭宏安的译本。”那姑娘叫...
28,卡拉马佐夫兄弟,[俄] 费奥多尔·陀思妥耶夫斯基,上海译文出版社,2015,78.0,9.6,https://book.douban.com/subject/25887924/,“回答完你的问题，我就来展开俄罗斯的奥秘，也是陀思妥耶夫斯基的奥秘。我想讲的是，为什么会产生这样一种宗教感，尽管有时候作者并不直接说到宗教。陀思妥耶夫斯基经常写到，俄罗斯是斯芬克斯，俄罗斯是一个谜。这个谜不仅是对外国人来讲的，对俄国人也同样如此。在1880年代...
29,白鹿原:20周年精装典藏版,陈忠实,人民文学出版社,2012,39.0,9.2,https://book.douban.com/subject/10564071/,陈忠实创作《白鹿原》前就暗下决心，要把这本书当作“将来垫枕头的”作品，也就是说，一名小说家总要写点自己都觉得好的作品用来陪葬。于王朔而言是《动物凶猛》，写了许多小说，王朔用于证明自己是严肃作家的作品是这个中篇，犹如史蒂芬金拿出《四季》（其中就包括肖伸克的救...
30,乡土中国,费孝通,上海人民出版社,2006,38.0,9.2,https://book.douban.com/subject/1795079/,费孝通先生的《乡土中国》，真是本值得一读再读的好书。他解释了中国人很多根深蒂固的行为习惯的来处。但又不像很多书，一提到“国民性”就是纯粹的批判，或嘲讽，他倒没有。他对中国人有踏实的了解，有敏锐的观察，有抽丝剥茧的犀利分析，却没有那种置身事外的态度，对“你...
31,人类简史:从动物到上帝,[以色列] 尤瓦尔·赫拉利,中信出版社,2014,68.0,9.1,https://book.douban.com/subject/25985021/,乘地铁，车还没到，抬头看电视屏幕，瞥见一个穿白大褂的中年男人正在讲解割双眼皮的三种方式，对面的广告牌上，一个美丽的女人骄傲地展示着整容之后的五官，大眼睛，双眼皮，尖下巴，眼神迷离，一脸茫然。我并不想对整容做道德评价，而是想还原一个事实：我们已经生活在一个...
32,彷徨,鲁迅,人民文学出版社,1973,0.37,9.3,https://book.douban.com/subject/1449348/,本文系作者原创。是对近期自己对于鲁迅、对于青少年教育、对于社会现实的一些想法的总结。转载请注明出处。----------------------------------------也许真的是到了岁数，最近总会想到下一代的教育问题——尽管未来几年要孩子都是个没谱的事，但这并不妨碍现在的我为此而...
33,围城,钱锺书,人民文学出版社,1991,19.0,9.0,https://book.douban.com/subject/1008145/,看论坛上掐架，说的是鲁迅，王小波，钱钟书，架掐得没个所以然，自然最后又可以被人用仁者见仁智者见智的无聊老话总结过。但是发现有人为鲁迅，王小波反驳，对于钱钟书说的却甚少，许是《围城》很多人看过，但若被人奉上一句不足够伟大，却也让人无话可说，而其他的东西如管锥...
34,平凡的世界（全三部）,路遥,人民文学出版社,2005,64.0,9.0,https://book.douban.com/subject/1200840/,书的开头，孙少平是个连“丙”菜都吃不起的穷困的农村学生；书的结尾，孙少平是个身有残疾的普普通通的煤矿工人。从头至尾，孙少平都没有能够脱离所谓的“社会底层”。可是时至今日，每每想起《平凡的世界》，想起孙少平这个平凡的人，这个人物身上的自尊都令我汗颜。初中时...
